block,length_Mb,pi_block,pi_fold,tajD_block,tajD_chrom,cds_frac,genes_per_Mb,genes_per_Mb_chrom,div_ratio_min,div_ratio_max
chr1:24.0–31.3,7.3,0.0212418926853687,2.844753295069574,-1.7701691156558534,-2.214182,0.000515796897038,1.7808219178082192,6.050029086678301,2.202785175262893,2.373934522887758
chr6:12.0–18.9,6.9,0.0178354978629051,2.279612313936965,-1.5777162857142857,-2.173787,0.000244365079365,1.7391304347826086,6.785170137125444,1.257197291840456,1.338133444089554
chr6:19.3–23.2,3.9,0.0188988911799696,2.41552803206112,-1.5624700190476188,-2.173787,0.0005520634920634,1.794871794871795,6.785170137125444,1.2709335013453322,1.3173249142791186
chr8:29.7–35.5,5.8,0.0176726072795502,2.317336657988468,-1.9676785823223573,-2.224348,7.999999999999999e-05,1.7241379310344829,5.425444274449806,1.974888460939908,2.1204188660741727
chr9:27.2–29.9,2.7,0.0269062058880135,3.5752703990564743,-1.123613492307692,-2.116822,0.0015634615384615,2.222222222222222,6.545119328075387,3.011104588039333,3.1863351057666014
chr10:66.7–69.4,2.7,0.0176855333948892,2.141421907539732,-2.058127332089552,-2.256412,0.0,0.3703703703703703,5.209988649262202,1.4614400269507932,1.533855096112711
chr11:44.1–45.5,1.4,0.0152686280987403,2.120352520160278,-1.825115928571429,-2.1507805,9.771428571428572e-05,2.142857142857143,8.375497900742815,1.4752945132262665,1.5341580145658729
chr13:33.5–39.0,5.5,0.0240704116910199,2.736779813874444,-1.7941421018181818,-2.189177,0.0017007272727272,3.090909090909091,5.522788203753351,2.4987416641287714,2.7885736977077418
chr21:0.0–9.4,9.4,0.0241031987069031,2.588328101934996,-1.3865039618696184,-1.936103,8.94710947109471e-05,1.702127659574468,6.358599848904558,2.2202911867470743,2.487681279653663
chr21:74.4–79.4,5.0,0.0232205714206477,2.493546947104484,-1.4226755704387992,-1.936103,0.0001287759815242,2.0,6.358599848904558,2.087831000035122,2.3019349635481654
chr23:0.1–5.6,5.5,0.0428547961284118,4.341677894039165,-0.9606670703422052,-2.037532,0.0004180228136882,2.1818181818181817,5.758733624454148,3.939678991533994,4.434480172376321
chr23:62.4–65.3,2.9,0.0230653408093327,2.3367811623765284,-1.6776967346153846,-2.037532,0.0002206153846153,2.7586206896551726,5.758733624454148,1.276699689188935,1.3329668988577894
chr23:65.7–67.7,2.0,0.0227965101939016,2.3095455657641697,-1.732285605263158,-2.037532,3.842105263157895e-05,1.5,5.758733624454148,1.2348086805163625,1.270463198530844
chr25:61.4–63.8,2.4,0.0228839135603737,2.79465842459042,-1.5665801095890413,-2.1688555000000003,0.0003857534246575,2.916666666666667,6.215722120658136,2.679728647308691,2.8608126750718306
chr29:34.4–40.7,6.3,0.0225767929602927,2.614461469654568,-1.414197155,-1.9704715,0.0004322666666666,2.063492063492064,7.935866343303692,2.435175311564404,2.7881350679278816
chr30:17.3–18.5,1.2,0.0570675718708097,6.070765344805852,-0.6878324224137932,-2.1650635,0.0001674137931034,2.5,6.430155210643015,5.774008921671293,6.171250691982239
chr34:29.9–44.7,14.8,0.0275524722226516,2.6338984077768206,-1.4500506970128022,-1.946317,7.130867709815078e-05,1.8243243243243243,5.238633154476137,2.1950907127993564,2.4278933053557696
chr35:59.7–65.1,5.4,0.0330510024257787,3.4047375522246286,-1.4721601287313435,-2.1305310000000004,8.82462686567164e-05,1.8518518518518543,6.863196683555966,3.2134927308074843,3.515550109269729
chr38:19.0–31.8,12.8,0.0318232492127346,2.7570783769727623,-1.4066453798521257,-1.968515,0.0002104066543438,2.1875,5.226088181434005,2.7034116958748884,3.0768850272949084
chr38:61.5–68.0,6.5,0.047617558763214,4.125453713184988,-1.0846118786231884,-1.968515,0.0002955797101449,2.6153846153846154,5.226088181434005,4.108497069016607,5.07578230940355
chr43:45.7–61.6,15.9,0.0287491604014676,2.420070282561388,-1.5240714883040938,-1.839827,0.0002495321637426,2.20125786163522,6.764192725808615,1.8343670140941029,2.01534136421472
chr44:8.8–11.7,2.9,0.0283561282521732,2.7113859415814634,-1.2665051310344826,-1.854876,8.689655172413794e-05,1.3793103448275863,7.287314056493398,2.345029813646006,2.593602714826571
